" - Edit"," - Modifier"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"[...]","[...]"
"About Blog","À propos du blog"
"Action","Action"
"Add","Ajouter"
"Add Child Category","Ajouter une sous-catégorie"
"Add New","Ajouter"
"Add New Post Attribute","Ajouter un nouvel attribut d'article"
"Add Post","Ajouter un article"
"Add Root Category","Ajouter une catégorie racine"
"Add Tag","Ajouter un tag"
"Add category","Ajouter une catégorie"
"Add option","Ajouter une option"
"Add post","Ajouter un article"
"Add tag","Ajouter un tag"
"Advanced Configuration","Configuration avancée"
"After post content, it will show recent posts in same category","Après le contenu de l'article, les articles récents de la même catégorie seront affichés"
"Allow Comment","Autoriser les commentaires"
"Allow comments","Autoriser les commentaires"
"Allow guest comments","Autoriser les commentaires des invités"
"An error occurred while trying to delete the category.","Une erreur s'est produite lors de la suppression de la catégorie."
"Approved","Approuvé"
"Are you sure?","Êtes-vous sûr(e) ?"
"Assign category to Post","Assigner une catégorie à l'article"
"Assign post to Category","Assigner un article à la catégorie"
"Assign post to Tag","Assigner un article au tag"
"Assign tag to Post","Assigner un tag à l'article"
"Attribute Information","Informations sur l'attribut"
"Attribute with the same code already exists","Un attribut avec le même code existe déjà"
"Attributes","Attributs"
"Back","Retour"
"Better Blog","Better Blog"
"BetterBlog","BetterBlog"
"BetterBlog Feeds","Flux BetterBlog"
"Blog","Blog"
"Blog name","Nom du blog"
"Blog sitemap generated successfully.","Le sitemap du blog a été généré avec succès."
"Buy","Acheter"
"CSV","CSV"
"Can","Peut"
"Can't delete root category.","Impossible de supprimer la catégorie racine."
"Cannot move parent inside category","Impossible de déplacer le parent dans la catégorie"
"Categories","Catégories"
"Categories rss feed","Flux RSS des catégories"
"Category","Catégorie"
"Category API","API des catégories"
"Category link","Lien de catégorie"
"Category link widget","Widget lien de catégorie"
"Category move error","Erreur de déplacement de catégorie"
"Category posts","Articles de la catégorie"
"Category posts widget","Widget articles de la catégorie"
"Category subtree","Sous-arborescence de catégorie"
"Category subtree widget","Widget sous-arborescence de catégorie"
"Category view","Vue de la catégorie"
"Category view page","Page de vue de la catégorie"
"Category view widget","Widget vue de la catégorie"
"Change status","Changer le statut"
"Children","Enfants"
"Children count","Nombre d'enfants"
"Collapse All","Tout réduire"
"Comment","Commentaire"
"Comment Form","Formulaire de commentaire"
"Comment Title","Titre du commentaire"
"Comment can't be empty","Le commentaire ne peut pas être vide"
"Comment form has been disabled.","Le formulaire de commentaire a été désactivé."
"Comment title","Titre du commentaire"
"Comment title can't be empty","Le titre du commentaire ne peut pas être vide"
"Comment was successfully deleted.","Le commentaire a été supprimé avec succès."
"Comment was successfully saved","Le commentaire a été enregistré avec succès"
"Comments","Commentaires"
"Compatible with","Compatible avec"
"Content","Contenu"
"Could not find comment to delete.","Impossible de trouver le commentaire à supprimer."
"Could not find tag to delete.","Impossible de trouver le tag à supprimer."
"Create new attribute","Créer un nouvel attribut"
"Created at","Créé le"
"Current Product Related posts","Articles associés au produit actuel"
"Current Product Related posts widget","Widget articles associés au produit actuel"
"Custom Sitemap","Sitemap personnalisé"
"Customer profile","Profil du client"
"Dark","Sombre"
"Data cannot be null","Les données ne peuvent pas être nulles"
"Declare attribute value saving scope","Déclarer la portée d'enregistrement de la valeur de l'attribut"
"Default Comment Form","Formulaire de commentaire par défaut"
"Default Values","Valeurs par défaut"
"Default: 10","Par défaut : 10"
"Default: 5","Par défaut : 5"
"Delete","Supprimer"
"Delete Category","Supprimer la catégorie"
"Delete File","Supprimer le fichier"
"Delete Post","Supprimer l'article"
"Delete Post Attribute","Supprimer l'attribut d'article"
"Delete Post comment","Supprimer le commentaire d'article"
"Delete Tag","Supprimer le tag"
"Delete attribute","Supprimer l'attribut"
"Description","Description"
"Disable Completely","Désactiver complètement"
"Disabled","Désactivé"
"Discover the products","Découvrez les produits"
"Display posts in same category","Afficher les articles de la même catégorie"
"Disqus Comment","Commentaire Disqus"
"Disqus unique name","Nom unique Disqus"
"E-mail","E-mail"
"Edit","Modifier"
"Edit Post Attribute","Modifier l'attribut d'article"
"Edit Post Attribute ""%s""","Modifier l'attribut d'article ""%s"""
"Email can't be empty","L'e-mail ne peut pas être vide"
"Enable Comment Widget","Activer le widget commentaires"
"Enable Most Views Widget","Activer le widget les plus consultés"
"Enable WYSIWYG","Activer le WYSIWYG"
"Enable rss","Activer le RSS"
"Enabled","Activé"
"Error generating blog sitemap: %s","Erreur lors de la génération du sitemap du blog : %s"
"Error saving post","Erreur lors de l'enregistrement de l'article"
"Excel","Excel"
"Expand All","Tout développer"
"Facebook Comment","Commentaire Facebook"
"Facebook: AppID","Facebook : AppID"
"Facebook: Color scheme","Facebook : Palette de couleurs"
"Facebook: Number of comment","Facebook : Nombre de commentaires"
"Facebook: Order by","Facebook : Trier par"
"File","Fichier"
"File ","Fichier "
"Footer","Pied de page"
"Frontend Properties","Propriétés du frontend"
"General","Général"
"Generate Blog Sitemap","Générer le sitemap du blog"
"Generate Blog Sitemap (Optional)","Générer le sitemap du blog (Optionnel)"
"Get Feed","Obtenir le flux"
"Get full information about attribute with list of options","Obtenir les informations complètes sur l'attribut avec la liste des options"
"Get list of non-default attributes","Obtenir la liste des attributs non par défaut"
"Get list of possible attribute types","Obtenir la liste des types d'attributs possibles"
"Global","Global"
"Guest comments are not allowed","Les commentaires des invités ne sont pas autorisés"
"Home","Accueil"
"ID: %s","ID : %s"
"Id","Id"
"If you want to show recent comments, you should choose Comment Form is Default Comment Form. It cannot show Facebook, Disqus comment.","Si vous souhaitez afficher les commentaires récents, vous devez choisir le formulaire de commentaire par défaut. Les commentaires Facebook et Disqus ne peuvent pas être affichés."
"Image","Image"
"Import AW Blog","Importer AW Blog"
"Import from AW Blog","Importer depuis AW Blog"
"In RSS","Dans le RSS"
"Info","Info"
"Invalid form key. Please refresh the page.","Clé de formulaire invalide. Veuillez rafraîchir la page."
"Leave empty for no prefix","Laisser vide pour aucun préfixe"
"Leave empty for no prefix. Default: blog","Laisser vide pour aucun préfixe. Par défaut : blog"
"Leave empty to use default URL module/controller/action. Default URL: posts","Laisser vide pour utiliser l'URL par défaut module/controller/action. URL par défaut : posts"
"Level","Niveau"
"Levels to show (0 for all)","Niveaux à afficher (0 pour tous)"
"Light","Clair"
"List","Liste"
"Mageplaza","Mageplaza"
"Manage Attributes","Gérer les attributs"
"Manage Categories","Gérer les catégories"
"Manage Comments","Gérer les commentaires"
"Manage Label / Options","Gérer les libellés / Options"
"Manage Post Attributes","Gérer les attributs d'article"
"Manage Post attributes","Gérer les attributs d'article"
"Manage Posts","Gérer les articles"
"Manage Tags","Gérer les tags"
"Meta","Méta"
"Meta description","Méta-description"
"Meta description for posts list page","Méta-description pour la page de liste des articles"
"Meta information","Informations méta"
"Meta keywords","Mots-clés méta"
"Meta keywords for posts list page","Mots-clés méta pour la page de liste des articles"
"Meta title","Méta-titre"
"Meta title for posts list page","Méta-titre pour la page de liste des articles"
"Meta-description","Méta-description"
"Meta-keywords","Mots-clés méta"
"Meta-title","Méta-titre"
"More articles in this category","Plus d'articles dans cette catégorie"
"Most Views","Les plus consultés"
"Move","Déplacer"
"Move category in tree","Déplacer la catégorie dans l'arborescence"
"My Post Comments","Mes commentaires d'article"
"My Posts Comments","Mes commentaires d'articles"
"My Posts comment view","Vue de mes commentaires d'articles"
"My Posts comments","Mes commentaires d'articles"
"Name","Nom"
"Name in %s","Nom en %s"
"New Category","Nouvelle catégorie"
"New Post Attribute","Nouvel attribut d'article"
"New Root Category","Nouvelle catégorie racine"
"Nickname","Pseudonyme"
"No","Non"
"None","Aucun"
"Note","Note"
"Number of comments","Nombre de commentaires"
"Number of most view posts","Nombre d'articles les plus consultés"
"Number of recent posts","Nombre d'articles récents"
"Number of same category posts to display","Nombre d'articles de la même catégorie à afficher"
"Number of tags to display","Nombre de tags à afficher"
"On %s %s wrote:","Le %s %s a écrit :"
"On %s you wrote:","Le %s vous avez écrit :"
"Only registered users can write comments. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Seuls les utilisateurs enregistrés peuvent écrire des commentaires. Veuillez <a href=""%s"">vous connecter</a> ou <a href=""%s"">vous inscrire</a>"
"Override Categories","Remplacer les catégories"
"Override Posts","Remplacer les articles"
"Override Tags","Remplacer les tags"
"Parent id","Id du parent"
"Path","Chemin"
"Pending","En attente"
"Please enter a valid email address","Veuillez saisir une adresse e-mail valide"
"Please make sure that ""%s"" is writable by the web-server.","Veuillez vous assurer que ""%s"" est accessible en écriture par le serveur web."
"Please select comments to delete.","Veuillez sélectionner les commentaires à supprimer."
"Please select comments.","Veuillez sélectionner des commentaires."
"Please select posts.","Veuillez sélectionner des articles."
"Please select tags to delete.","Veuillez sélectionner les tags à supprimer."
"Please select tags.","Veuillez sélectionner des tags."
"Popular Tags","Tags populaires"
"Position","Position"
"Position in the admin form","Position dans le formulaire d'administration"
"Post","Article"
"Post API","API des articles"
"Post Attributes","Attributs d'article"
"Post Comment","Commentaire d'article"
"Post Comments","Commentaires d'article"
"Post Information","Informations sur l'article"
"Post comment","Commentaire d'article"
"Post link","Lien de l'article"
"Post link widget","Widget lien de l'article"
"Post view","Vue de l'article"
"Post view page","Page de vue de l'article"
"Post view widget","Widget vue de l'article"
"Post was saved","L'article a été enregistré"
"Posted in","Publié dans"
"Posted on","Publié le"
"Poster e-mail","E-mail de l'auteur"
"Poster email","E-mail de l'auteur"
"Poster name","Nom de l'auteur"
"Posts","Articles"
"Posts Comments","Commentaires des articles"
"Posts list","Liste des articles"
"Posts rss feed","Flux RSS des articles"
"Product attributes API","API des attributs de produit"
"Products","Produits"
"Properties","Propriétés"
"Read More","Lire la suite"
"Recent Comments","Commentaires récents"
"Recent posts","Articles récents"
"Rejected","Rejeté"
"Related posts","Articles associés"
"Relative to Website Base URL","Relatif à l'URL de base du site web"
"Remove","Supprimer"
"Remove attribute","Supprimer l'attribut"
"Remove category","Supprimer la catégorie"
"Remove category from post","Retirer la catégorie de l'article"
"Remove option","Supprimer l'option"
"Remove post","Supprimer l'article"
"Remove post from category","Retirer l'article de la catégorie"
"Remove post from tag","Retirer l'article du tag"
"Remove tag","Supprimer le tag"
"Remove tag from post","Retirer le tag de l'article"
"Reset","Réinitialiser"
"Retrieve Post Comments","Récupérer les commentaires d'article"
"Retrieve attribute list","Récupérer la liste des attributs"
"Retrieve attribute options","Récupérer les options de l'attribut"
"Retrieve category info","Récupérer les informations de la catégorie"
"Retrieve list of categories","Récupérer la liste des catégories"
"Retrieve list of posts","Récupérer la liste des articles"
"Retrieve list of tags","Récupérer la liste des tags"
"Retrieve one level of categories","Récupérer un niveau de catégories"
"Retrieve post info","Récupérer les informations de l'article"
"Retrieve tag info","Récupérer les informations du tag"
"Reverse time","Ordre chronologique inverse"
"Root","Racine"
"Save And Continue Edit","Enregistrer et continuer la modification"
"Save Category","Enregistrer la catégorie"
"Save Post","Enregistrer l'article"
"Save Post Attribute","Enregistrer l'attribut d'article"
"Save Post comment","Enregistrer le commentaire d'article"
"Save Tag","Enregistrer le tag"
"Save and Continue Edit","Enregistrer et continuer la modification"
"Save this option before importing","Enregistrer cette option avant d'importer"
"Scope","Portée"
"Select Category","Sélectionner une catégorie"
"Select Post","Sélectionner un article"
"Select Tag","Sélectionner un tag"
"Set/Get current store view","Définir/Obtenir la vue du magasin actuelle"
"Settings","Paramètres"
"Short Description","Description courte"
"Show Blog Link in Footer Links","Afficher le lien du blog dans les liens du pied de page"
"Show Blog Link in Top links","Afficher le lien du blog dans les liens du haut"
"Show Sidebar Left","Afficher la barre latérale gauche"
"Show Sidebar Right","Afficher la barre latérale droite"
"Show in rss","Afficher dans le RSS"
"Sidebar","Barre latérale"
"Social","Social"
"Status","Statut"
"Store View","Vue du magasin"
"Store Views","Vues du magasin"
"Store views","Vues du magasin"
"Submit Comment","Envoyer le commentaire"
"Subscribe to RSS Feed","S'abonner au flux RSS"
"Tag","Tag"
"Tag API","API des tags"
"Tag link","Lien du tag"
"Tag link widget","Widget lien du tag"
"Tag view","Vue du tag"
"Tag view page","Page de vue du tag"
"Tag view widget","Widget vue du tag"
"Tag was successfully deleted.","Le tag a été supprimé avec succès."
"Tag was successfully saved","Le tag a été enregistré avec succès"
"Tags","Tags"
"Tags list","Liste des tags"
"Tags rss feed","Flux RSS des tags"
"Text to appear below the input.","Texte à afficher sous le champ de saisie."
"The category has been deleted.","La catégorie a été supprimée."
"The category has been saved.","La catégorie a été enregistrée."
"The post attribute has been deleted.","L'attribut d'article a été supprimé."
"The post attribute has been saved.","L'attribut d'article a été enregistré."
"The posts has been deleted.","Les articles ont été supprimés."
"There are no categories at this moment","Il n'y a aucune catégorie pour le moment"
"There are no posts at this moment","Il n'y a aucun article pour le moment"
"There was a problem saving the comment.","Un problème est survenu lors de l'enregistrement du commentaire."
"There was a problem saving the tag.","Un problème est survenu lors de l'enregistrement du tag."
"There was an error deleting comments.","Une erreur s'est produite lors de la suppression des commentaires."
"There was an error deleting tag.","Une erreur s'est produite lors de la suppression du tag."
"There was an error deleting tags.","Une erreur s'est produite lors de la suppression des tags."
"There was an error deleting the comment.","Une erreur s'est produite lors de la suppression du commentaire."
"There was an error updating comments.","Une erreur s'est produite lors de la mise à jour des commentaires."
"There was an error updating posts.","Une erreur s'est produite lors de la mise à jour des articles."
"There was an error updating tags.","Une erreur s'est produite lors de la mise à jour des tags."
"This attribute cannot be deleted.","Cet attribut ne peut pas être supprimé."
"This attribute cannot be updated.","Cet attribut ne peut pas être mis à jour."
"This attribute is not deletable","Cet attribut ne peut pas être supprimé"
"This attribute no longer exists","Cet attribut n'existe plus"
"This comment no longer exists.","Ce commentaire n'existe plus."
"This post attribute cannot be edited.","Cet attribut d'article ne peut pas être modifié."
"This post attribute no longer exists","Cet attribut d'article n'existe plus"
"This post does not allow comments","Cet article n'autorise pas les commentaires"
"This post no longer exists.","Cet article n'existe plus."
"This tag no longer exists.","Ce tag n'existe plus."
"Time","Heure"
"Title","Titre"
"Top Link","Lien du haut"
"Topic","Sujet"
"Total of %d comments were successfully updated.","Un total de %d commentaires a été mis à jour avec succès."
"Total of %d posts were successfully updated.","Un total de %d articles a été mis à jour avec succès."
"Total of %d record(s) have been deleted.","Un total de %d enregistrement(s) a été supprimé."
"Total of %d tags were successfully deleted.","Un total de %d tags a été supprimé avec succès."
"Total of %d tags were successfully updated.","Un total de %d tags a été mis à jour avec succès."
"URL key","Clé d'URL"
"URL key for list page","Clé d'URL pour la page de liste"
"URL prefix","Préfixe d'URL"
"Unable to find an attribute to delete.","Impossible de trouver un attribut à supprimer."
"Unable to find comment to save.","Impossible de trouver le commentaire à enregistrer."
"Unable to find tag to save.","Impossible de trouver le tag à enregistrer."
"Unable to post the comment.","Impossible de publier le commentaire."
"Update","Mettre à jour"
"Update Post Status","Mettre à jour le statut de l'article"
"Update Status","Mettre à jour le statut"
"Update attribute","Mettre à jour l'attribut"
"Update category","Mettre à jour la catégorie"
"Update post","Mettre à jour l'article"
"Update tag","Mettre à jour le tag"
"Updated at","Mis à jour le"
"Url key","Clé d'URL"
"Url suffix","Suffixe d'URL"
"Use Breadcrumbs","Utiliser le fil d'Ariane"
"Use Default Value","Utiliser la valeur par défaut"
"Use default config","Utiliser la configuration par défaut"
"View All Tags","Voir tous les tags"
"View Details","Voir les détails"
"WYSIWYG Editor","Éditeur WYSIWYG"
"Website","Site web"
"Welcome to our Blog","Bienvenue sur notre blog"
"What goes after the dot. Leave empty for no suffix.","Ce qui suit le point. Laisser vide pour aucun suffixe."
"What goes after the dot. Leave empty for no suffix. Default: html","Ce qui suit le point. Laisser vide pour aucun suffixe. Par défaut : html"
"Write Your Comment","Écrivez votre commentaire"
"XML","XML"
"Yes","Oui"
"You have submitted no comments for posts.","Vous n'avez soumis aucun commentaire pour les articles."
"Your comment has been accepted for moderation.","Votre commentaire a été accepté et est en attente de modération."
"Your name can't be empty","Votre nom ne peut pas être vide"
"comment","commentaire"
"comments","commentaires"
