" - Edit"," - Modifica"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"[...]","[...]"
"About Blog","Informazioni sul Blog"
"Action","Azione"
"Add","Aggiungi"
"Add Child Category","Aggiungi sottocategoria"
"Add New","Aggiungi nuovo"
"Add New Post Attribute","Aggiungi nuovo attributo articolo"
"Add Post","Aggiungi articolo"
"Add Root Category","Aggiungi categoria principale"
"Add Tag","Aggiungi tag"
"Add category","Aggiungi categoria"
"Add option","Aggiungi opzione"
"Add post","Aggiungi articolo"
"Add tag","Aggiungi tag"
"Advanced Configuration","Configurazione avanzata"
"After post content, it will show recent posts in same category","Dopo il contenuto dell'articolo, verranno mostrati gli articoli recenti della stessa categoria"
"Allow Comment","Consenti commento"
"Allow comments","Consenti commenti"
"Allow guest comments","Consenti commenti degli ospiti"
"An error occurred while trying to delete the category.","Si è verificato un errore durante l'eliminazione della categoria."
"Approved","Approvato"
"Are you sure?","Sei sicuro?"
"Assign category to Post","Assegna categoria all'articolo"
"Assign post to Category","Assegna articolo alla categoria"
"Assign post to Tag","Assegna articolo al tag"
"Assign tag to Post","Assegna tag all'articolo"
"Attribute Information","Informazioni attributo"
"Attribute with the same code already exists","Esiste già un attributo con lo stesso codice"
"Attributes","Attributi"
"Back","Indietro"
"Better Blog","Better Blog"
"BetterBlog","BetterBlog"
"BetterBlog Feeds","BetterBlog Feeds"
"Blog","Blog"
"Blog name","Nome del blog"
"Blog sitemap generated successfully.","Sitemap del blog generata con successo."
"Buy","Compra"
"CSV","CSV"
"Can","Può"
"Can't delete root category.","Impossibile eliminare la categoria principale."
"Cannot move parent inside category","Impossibile spostare il genitore all'interno della categoria"
"Categories","Categorie"
"Categories rss feed","Feed RSS delle categorie"
"Category","Categoria"
"Category API","API Categoria"
"Category link","Link categoria"
"Category link widget","Widget link categoria"
"Category move error","Errore spostamento categoria"
"Category posts","Articoli della categoria"
"Category posts widget","Widget articoli della categoria"
"Category subtree","Sottoalbero categoria"
"Category subtree widget","Widget sottoalbero categoria"
"Category view","Vista categoria"
"Category view page","Pagina vista categoria"
"Category view widget","Widget vista categoria"
"Change status","Cambia stato"
"Children","Figli"
"Children count","Numero figli"
"Collapse All","Comprimi tutto"
"Comment","Commento"
"Comment Form","Modulo commento"
"Comment Title","Titolo commento"
"Comment can't be empty","Il commento non può essere vuoto"
"Comment form has been disabled.","Il modulo commento è stato disabilitato."
"Comment title","Titolo commento"
"Comment title can't be empty","Il titolo del commento non può essere vuoto"
"Comment was successfully deleted.","Il commento è stato eliminato con successo."
"Comment was successfully saved","Il commento è stato salvato con successo"
"Comments","Commenti"
"Compatible with","Compatibile con"
"Content","Contenuto"
"Could not find comment to delete.","Impossibile trovare il commento da eliminare."
"Could not find tag to delete.","Impossibile trovare il tag da eliminare."
"Create new attribute","Crea nuovo attributo"
"Created at","Creato il"
"Current Product Related posts","Articoli correlati del prodotto corrente"
"Current Product Related posts widget","Widget articoli correlati del prodotto corrente"
"Custom Sitemap","Sitemap personalizzata"
"Customer profile","Profilo cliente"
"Dark","Scuro"
"Data cannot be null","I dati non possono essere nulli"
"Declare attribute value saving scope","Dichiara l'ambito di salvataggio del valore dell'attributo"
"Default Comment Form","Modulo commento predefinito"
"Default Values","Valori predefiniti"
"Default: 10","Predefinito: 10"
"Default: 5","Predefinito: 5"
"Delete","Elimina"
"Delete Category","Elimina categoria"
"Delete File","Elimina file"
"Delete Post","Elimina articolo"
"Delete Post Attribute","Elimina attributo articolo"
"Delete Post comment","Elimina commento articolo"
"Delete Tag","Elimina tag"
"Delete attribute","Elimina attributo"
"Description","Descrizione"
"Disable Completely","Disabilita completamente"
"Disabled","Disabilitato"
"Discover the products","Scopri gli articoli"
"Display posts in same category","Mostra articoli della stessa categoria"
"Disqus Comment","Commento Disqus"
"Disqus unique name","Nome univoco Disqus"
"E-mail","E-mail"
"Edit","Modifica"
"Edit Post Attribute","Modifica attributo articolo"
"Edit Post Attribute ""%s""","Modifica attributo articolo ""%s"""
"Email can't be empty","L'email non può essere vuota"
"Enable Comment Widget","Abilita widget commenti"
"Enable Most Views Widget","Abilita widget più visti"
"Enable WYSIWYG","Abilita WYSIWYG"
"Enable rss","Abilita RSS"
"Enabled","Abilitato"
"Error generating blog sitemap: %s","Errore nella generazione della sitemap del blog: %s"
"Error saving post","Errore nel salvataggio dell'articolo"
"Excel","Excel"
"Expand All","Espandi tutto"
"Facebook Comment","Commento Facebook"
"Facebook: AppID","Facebook: AppID"
"Facebook: Color scheme","Facebook: Schema colori"
"Facebook: Number of comment","Facebook: Numero di commenti"
"Facebook: Order by","Facebook: Ordina per"
"File","File"
"File ","File "
"Footer","Piè di pagina"
"Frontend Properties","Proprietà frontend"
"General","Generale"
"Generate Blog Sitemap","Genera sitemap del blog"
"Generate Blog Sitemap (Optional)","Genera sitemap del blog (Opzionale)"
"Get Feed","Ottieni feed"
"Get full information about attribute with list of options","Ottieni informazioni complete sull'attributo con elenco delle opzioni"
"Get list of non-default attributes","Ottieni elenco degli attributi non predefiniti"
"Get list of possible attribute types","Ottieni elenco dei tipi di attributo possibili"
"Global","Globale"
"Guest comments are not allowed","I commenti degli ospiti non sono consentiti"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"If you want to show recent comments, you should choose Comment Form is Default Comment Form. It cannot show Facebook, Disqus comment.","Se vuoi mostrare i commenti recenti, devi scegliere il modulo commento predefinito. Non è possibile mostrare i commenti di Facebook e Disqus."
"Image","Immagine"
"Import AW Blog","Importa AW Blog"
"Import from AW Blog","Importa da AW Blog"
"In RSS","Nel RSS"
"Info","Info"
"Invalid form key. Please refresh the page.","Chiave del modulo non valida. Aggiorna la pagina."
"Leave empty for no prefix","Lascia vuoto per nessun prefisso"
"Leave empty for no prefix. Default: blog","Lascia vuoto per nessun prefisso. Predefinito: blog"
"Leave empty to use default URL module/controller/action. Default URL: posts","Lascia vuoto per utilizzare l'URL predefinito modulo/controller/azione. URL predefinito: posts"
"Level","Livello"
"Levels to show (0 for all)","Livelli da mostrare (0 per tutti)"
"Light","Chiaro"
"List","Elenco"
"Mageplaza","Mageplaza"
"Manage Attributes","Gestisci attributi"
"Manage Categories","Gestisci categorie"
"Manage Comments","Gestisci commenti"
"Manage Label / Options","Gestisci etichetta / Opzioni"
"Manage Post Attributes","Gestisci attributi articolo"
"Manage Post attributes","Gestisci attributi articolo"
"Manage Posts","Gestisci articoli"
"Manage Tags","Gestisci tag"
"Meta","Meta"
"Meta description","Meta description"
"Meta description for posts list page","Meta description per la pagina elenco articoli"
"Meta information","Informazioni meta"
"Meta keywords","Meta keywords"
"Meta keywords for posts list page","Meta keywords per la pagina elenco articoli"
"Meta title","Meta title"
"Meta title for posts list page","Meta title per la pagina elenco articoli"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"More articles in this category","Altri articoli della categoria"
"Most Views","Più visti"
"Move","Sposta"
"Move category in tree","Sposta categoria nell'albero"
"My Post Comments","Commenti ai miei articoli"
"My Posts Comments","Commenti ai miei articoli"
"My Posts comment view","Visualizzazione commenti ai miei articoli"
"My Posts comments","Commenti ai miei articoli"
"Name","Nome"
"Name in %s","Nome in %s"
"New Category","Nuova categoria"
"New Post Attribute","Nuovo attributo articolo"
"New Root Category","Nuova categoria principale"
"Nickname","Nickname"
"No","No"
"None","Nessuno"
"Note","Nota"
"Number of comments","Numero di commenti"
"Number of most view posts","Numero di articoli più visti"
"Number of recent posts","Numero di articoli recenti"
"Number of same category posts to display","Numero di articoli della stessa categoria da visualizzare"
"Number of tags to display","Numero di tag da visualizzare"
"On %s %s wrote:","Il %s %s ha scritto:"
"On %s you wrote:","Il %s hai scritto:"
"Only registered users can write comments. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Solo gli utenti registrati possono scrivere commenti. Per favore, <a href=""%s"">accedi</a> o <a href=""%s"">registrati</a>"
"Override Categories","Sovrascrivi categorie"
"Override Posts","Sovrascrivi articoli"
"Override Tags","Sovrascrivi tag"
"Parent id","Id genitore"
"Path","Percorso"
"Pending","In attesa"
"Please enter a valid email address","Inserisci un indirizzo email valido"
"Please make sure that ""%s"" is writable by the web-server.","Assicurati che ""%s"" sia scrivibile dal web-server."
"Please select comments to delete.","Seleziona i commenti da eliminare."
"Please select comments.","Seleziona i commenti."
"Please select posts.","Seleziona gli articoli."
"Please select tags to delete.","Seleziona i tag da eliminare."
"Please select tags.","Seleziona i tag."
"Popular Tags","Tag popolari"
"Position","Posizione"
"Position in the admin form","Posizione nel modulo di amministrazione"
"Post","Articolo"
"Post API","API Articolo"
"Post Attributes","Attributi articolo"
"Post Comment","Commento articolo"
"Post Comments","Commenti articolo"
"Post Information","Informazioni articolo"
"Post comment","Commento articolo"
"Post link","Link articolo"
"Post link widget","Widget link articolo"
"Post view","Vista articolo"
"Post view page","Pagina vista articolo"
"Post view widget","Widget vista articolo"
"Post was saved","L'articolo è stato salvato"
"Posted in","Pubblicato in"
"Posted on","Pubblicato il"
"Poster e-mail","E-mail dell'autore"
"Poster email","Email dell'autore"
"Poster name","Nome dell'autore"
"Posts","Articoli"
"Posts Comments","Commenti articoli"
"Posts list","Elenco articoli"
"Posts rss feed","Feed RSS degli articoli"
"Product attributes API","API attributi prodotto"
"Products","Prodotti"
"Properties","Proprietà"
"Read More","Continua a leggere"
"Recent Comments","Commenti recenti"
"Recent posts","Articoli recenti"
"Rejected","Rifiutato"
"Related posts","Articoli correlati"
"Relative to Website Base URL","Relativo all'URL base del sito"
"Remove","Rimuovi"
"Remove attribute","Rimuovi attributo"
"Remove category","Rimuovi categoria"
"Remove category from post","Rimuovi categoria dall'articolo"
"Remove option","Rimuovi opzione"
"Remove post","Rimuovi articolo"
"Remove post from category","Rimuovi articolo dalla categoria"
"Remove post from tag","Rimuovi articolo dal tag"
"Remove tag","Rimuovi tag"
"Remove tag from post","Rimuovi tag dall'articolo"
"Reset","Reimposta"
"Retrieve Post Comments","Recupera commenti articolo"
"Retrieve attribute list","Recupera elenco attributi"
"Retrieve attribute options","Recupera opzioni attributo"
"Retrieve category info","Recupera informazioni categoria"
"Retrieve list of categories","Recupera elenco categorie"
"Retrieve list of posts","Recupera elenco articoli"
"Retrieve list of tags","Recupera elenco tag"
"Retrieve one level of categories","Recupera un livello di categorie"
"Retrieve post info","Recupera informazioni articolo"
"Retrieve tag info","Recupera informazioni tag"
"Reverse time","Ordine cronologico inverso"
"Root","Principale"
"Save And Continue Edit","Salva e continua a modificare"
"Save Category","Salva categoria"
"Save Post","Salva articolo"
"Save Post Attribute","Salva attributo articolo"
"Save Post comment","Salva commento articolo"
"Save Tag","Salva tag"
"Save and Continue Edit","Salva e continua a modificare"
"Save this option before importing","Salva questa opzione prima di importare"
"Scope","Ambito"
"Select Category","Seleziona categoria"
"Select Post","Seleziona articolo"
"Select Tag","Seleziona tag"
"Set/Get current store view","Imposta/Ottieni vista negozio corrente"
"Settings","Impostazioni"
"Short Description","Descrizione breve"
"Show Blog Link in Footer Links","Mostra link del blog nei link a piè di pagina"
"Show Blog Link in Top links","Mostra link del blog nei link in alto"
"Show Sidebar Left","Mostra barra laterale sinistra"
"Show Sidebar Right","Mostra barra laterale destra"
"Show in rss","Mostra nel RSS"
"Sidebar","Barra laterale"
"Social","Social"
"Status","Stato"
"Store View","Vista negozio"
"Store Views","Viste negozio"
"Store views","Viste negozio"
"Submit Comment","Invia commento"
"Subscribe to RSS Feed","Iscriviti al feed RSS"
"Tag","Tag"
"Tag API","API Tag"
"Tag link","Link tag"
"Tag link widget","Widget link tag"
"Tag view","Vista tag"
"Tag view page","Pagina vista tag"
"Tag view widget","Widget vista tag"
"Tag was successfully deleted.","Il tag è stato eliminato con successo."
"Tag was successfully saved","Il tag è stato salvato con successo"
"Tags","Tag"
"Tags list","Elenco tag"
"Tags rss feed","Feed RSS dei tag"
"Text to appear below the input.","Testo da visualizzare sotto il campo di inserimento."
"The category has been deleted.","La categoria è stata eliminata."
"The category has been saved.","La categoria è stata salvata."
"The post attribute has been deleted.","L'attributo dell'articolo è stato eliminato."
"The post attribute has been saved.","L'attributo dell'articolo è stato salvato."
"The posts has been deleted.","Gli articoli sono stati eliminati."
"There are no categories at this moment","Non ci sono categorie al momento"
"There are no posts at this moment","Non ci sono articoli al momento"
"There was a problem saving the comment.","Si è verificato un problema durante il salvataggio del commento."
"There was a problem saving the tag.","Si è verificato un problema durante il salvataggio del tag."
"There was an error deleting comments.","Si è verificato un errore durante l'eliminazione dei commenti."
"There was an error deleting tag.","Si è verificato un errore durante l'eliminazione del tag."
"There was an error deleting tags.","Si è verificato un errore durante l'eliminazione dei tag."
"There was an error deleting the comment.","Si è verificato un errore durante l'eliminazione del commento."
"There was an error updating comments.","Si è verificato un errore durante l'aggiornamento dei commenti."
"There was an error updating posts.","Si è verificato un errore durante l'aggiornamento degli articoli."
"There was an error updating tags.","Si è verificato un errore durante l'aggiornamento dei tag."
"This attribute cannot be deleted.","Questo attributo non può essere eliminato."
"This attribute cannot be updated.","Questo attributo non può essere aggiornato."
"This attribute is not deletable","Questo attributo non è eliminabile"
"This attribute no longer exists","Questo attributo non esiste più"
"This comment no longer exists.","Questo commento non esiste più."
"This post attribute cannot be edited.","Questo attributo dell'articolo non può essere modificato."
"This post attribute no longer exists","Questo attributo dell'articolo non esiste più"
"This post does not allow comments","Questo articolo non consente commenti"
"This post no longer exists.","Questo articolo non esiste più."
"This tag no longer exists.","Questo tag non esiste più."
"Time","Ora"
"Title","Titolo"
"Top Link","Link in alto"
"Topic","Argomento"
"Total of %d comments were successfully updated.","Un totale di %d commenti è stato aggiornato con successo."
"Total of %d posts were successfully updated.","Un totale di %d articoli è stato aggiornato con successo."
"Total of %d record(s) have been deleted.","Un totale di %d record è stato eliminato."
"Total of %d tags were successfully deleted.","Un totale di %d tag è stato eliminato con successo."
"Total of %d tags were successfully updated.","Un totale di %d tag è stato aggiornato con successo."
"URL key","Chiave URL"
"URL key for list page","Chiave URL per la pagina elenco"
"URL prefix","Prefisso URL"
"Unable to find an attribute to delete.","Impossibile trovare un attributo da eliminare."
"Unable to find comment to save.","Impossibile trovare il commento da salvare."
"Unable to find tag to save.","Impossibile trovare il tag da salvare."
"Unable to post the comment.","Impossibile pubblicare il commento."
"Update","Aggiorna"
"Update Post Status","Aggiorna stato articolo"
"Update Status","Aggiorna stato"
"Update attribute","Aggiorna attributo"
"Update category","Aggiorna categoria"
"Update post","Aggiorna articolo"
"Update tag","Aggiorna tag"
"Updated at","Aggiornato il"
"Url key","Chiave URL"
"Url suffix","Suffisso URL"
"Use Breadcrumbs","Usa breadcrumbs"
"Use Default Value","Usa valore predefinito"
"Use default config","Usa configurazione predefinita"
"View All Tags","Visualizza tutti i tag"
"View Details","Visualizza dettagli"
"WYSIWYG Editor","Editor WYSIWYG"
"Website","Sito web"
"Welcome to our Blog","Benvenuto nel nostro Blog"
"What goes after the dot. Leave empty for no suffix.","Ciò che segue il punto. Lascia vuoto per nessun suffisso."
"What goes after the dot. Leave empty for no suffix. Default: html","Ciò che segue il punto. Lascia vuoto per nessun suffisso. Predefinito: html"
"Write Your Comment","Scrivi il tuo commento"
"XML","XML"
"Yes","Sì"
"You have submitted no comments for posts.","Non hai inviato commenti per gli articoli."
"Your comment has been accepted for moderation.","Il tuo commento è stato accettato ed è in attesa di moderazione."
"Your name can't be empty","Il tuo nome non può essere vuoto"
"comment","commento"
"comments","commenti"
